web_scraper_order,web_scraper_start_url,annee marque et model,prix,kilometrage,boite de vitesse,region vente
"1786443252-168","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2009 Opel Astra","1 500 000","160 000 km","Manuelle","Dakar"
"1786443252-169","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2000 Renault 17","6 000 000","160 000 km","Manuelle","Dakar"
"1786443252-170","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Mazda 2","1 100 000","140 000 km","Manuelle","Dakar"
"1786443252-171","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Peugeot 307","2 200 000","160 000 km","Manuelle","Dakar"
"1786443252-172","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2006 Hyundai Sonata","2 000 000","140 000 km","Automatique","Dakar"
"1786443252-173","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2006 Peugeot 406","2 500 000","160 000 km","Manuelle","Dakar"
"1786443252-174","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2010 Hyundai Tucson","4 200 000","79 044 km","Manuelle","Dakar"
"1786443252-175","https://www.gaaraas.com/fr/users/dakar-auto?page=1","1989 Mercedes‒Benz 190","1 900 000","160 000 km","Manuelle","Dakar"
"1786443252-176","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2009 Chrysler Sebring","2 000 000","99 000 km","Automatique","Dakar"
"1786443252-177","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2010 Toyota Camry","4 500 000","110 000 km","Automatique","Dakar"
"1786443252-178","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2010 Skoda Octavia","2 600 000","160 000 km","Manuelle","Dakar"
"1786443252-179","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2013 Hyundai Sonata","5 200 000","92 000 km","Automatique","Dahra"
"1786443252-180","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2010 Toyota Corolla","3 500 000","88 997 km","Manuelle","Dakar"
"1786443252-181","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2009 Peugeot 308","2 600 000","120 000 km","Manuelle","Dakar"
"1786443252-182","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Toyota Avensis","2 500 000","160 000 km","Manuelle","Dakar"
"1786443252-183","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Toyota Corolla","4 300 000","235 000 km","Manuelle","Dakar"
"1786443252-184","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2005 Volkswagen Golf","2 200 000","180 000 km","Manuelle","Dakar"
"1786443252-185","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2002 Renault 21","2 200 000","160 000 km","Manuelle","Dakar"
"1786443252-186","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2006 Toyota Avensis","1 600 000","186 000 km","Manuelle","Dakar"
"1786443252-187","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Toyota Verso","2 500 000","313 000 km","Manuelle","Dakar"
"1786443252-188","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Renault Safrane","2 200 000","160 000 km","Manuelle","Dakar"
"1786443252-189","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Renault Scenic","2 000 000","130 000 km","Manuelle","Dakar"
"1786443252-190","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Chery A113","1 700 000","79 000 km","Manuelle","Dakar"
"1786443252-191","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Renault Clio","1 750 000","120 000 km","Manuelle","Dakar"
"1786443252-192","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2009 Renault Megane","3 300 000","233 200 km","Manuelle","Dakar"
"1786443252-193","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2012 Peugeot 508","4 700 000","102 220 km","Manuelle","Dakar"
